Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
38,Troy Smith\SmitTr02,SFO,26,qb,6,6,3-3-0,73,145,50.3,1176,5,3.4,4,2.8,66,8.1,7.6,16.1,196.0,77.8,38.5,18,112,6.53,6.04,11.0,2,2
39,Matt Moore\MoorMa01,CAR,26,qb,6,5,1-4-0,79,143,55.2,857,5,3.5,10,7.0,39,6.0,3.5,10.8,142.8,55.6,32.8,13,90,4.92,2.67,8.3,1,1
40,Rex Grossman\GrosRe00,WAS,30,qb,4,3,1-2-0,74,133,55.6,884,7,5.3,4,3.0,64,6.6,6.3,11.9,221.0,81.2,34.5,9,77,5.68,5.40,6.3,0,1
41,John Skelton\SkelJo00,ARI,22,qb,5,4,2-2-0,60,126,47.6,662,2,1.6,2,1.6,74,5.3,4.9,11.0,132.4,62.3,26.1,9,65,4.42,4.05,6.7,1,1
42,Drew Stanton\StanDr00,DET,26,qb,6,3,2-1-0,69,119,58.0,780,4,3.4,3,2.5,87,6.6,6.1,11.3,130.0,78.4,51.6,6,42,5.90,5.46,4.8,2,2
43,Trent Edwards\EdwaTr01,2TM,27,,5,3,0-3-0,55,101,54.5,521,2,2.0,5,5.0,44,5.2,3.3,9.5,104.2,54.9,,11,95,3.80,2.15,9.8,,
44,Seneca Wallace\WallSe00,CLE,30,qb,8,4,1-3-0,64,101,63.4,694,4,4.0,2,2.0,65,6.9,6.8,10.8,86.8,88.5,49.1,6,33,6.18,6.08,5.6,,
45,Charlie Whitehurst\WhitCh02,SEA,28,qb,6,2,1-1-0,57,99,57.6,507,2,2.0,3,3.0,61,5.1,4.2,8.9,84.5,65.5,18.9,5,13,4.75,3.84,4.8,,
46,Matthew Stafford\StafMa00,DET,22,qb,3,3,1-2-0,57,96,59.4,535,6,6.3,1,1.0,36,5.6,6.4,9.4,178.3,91.3,50.5,4,36,4.99,5.74,4.0,1,1
47,Joe Webb\WebbJo00,MIN,24,qb,5,2,1-1-0,54,89,60.7,477,0,0.0,3,3.4,46,5.4,3.8,8.8,95.4,60.9,47.9,8,48,4.42,3.03,8.2,,
48,Tim Tebow\TeboTi00,DEN,23,qb,9,3,1-2-0,41,82,50.0,654,5,6.1,3,3.7,50,8.0,7.5,16.0,72.7,82.1,63.2,6,26,7.14,6.74,6.8,1,1
49,Max Hall\HallMa00,ARI,25,qb,6,3,1-2-0,39,78,50.0,370,1,1.3,6,7.7,26,4.7,1.5,9.5,61.7,35.7,8.8,14,90,3.04,0.33,15.2,0,1
50,Matt Flynn\FlynMa00,GNB,25,qb,7,1,0-1-0,40,66,60.6,433,3,4.5,2,3.0,66,6.6,6.1,10.8,61.9,82.4,22.1,7,38,5.41,5.00,9.6,,
51,Tyler Thigpen\ThigTy00,MIA,26,qb,5,1,0-1-0,33,62,53.2,435,2,3.2,2,3.2,35,7.0,6.2,13.2,87.0,73.0,27.1,8,50,5.50,4.79,11.4,,
52,Tarvaris Jackson\JackTa00,MIN,27,qb,3,1,0-1-0,34,58,58.6,341,3,5.2,4,6.9,46,5.9,3.8,10.0,113.7,63.9,28.3,6,43,4.66,2.78,9.4,,
53,Charlie Batch\BatcCh00,PIT,36,qb,3,2,1-1-0,29,49,59.2,352,3,6.1,3,6.1,46,7.2,5.7,12.1,117.3,76.2,51.8,4,21,6.25,4.83,7.5,,
54,Stephen McGee\McGeSt00,DAL,25,qb,2,1,1-0-0,22,44,50.0,238,2,4.5,0,0.0,37,5.4,6.3,10.8,119.0,81.4,63.9,3,25,4.53,5.38,6.4,1,1
55,Rusty Smith\SmitRu01,TEN,23,qb,2,1,0-1-0,20,40,50.0,200,0,0.0,4,10.0,52,5.0,0.5,10.0,100.0,25.0,5.7,1,0,4.88,0.49,2.4,,
56,Todd Bouman\BoumTo00,JAX,38,qb,1,1,0-1-0,18,34,52.9,222,2,5.9,2,5.9,29,6.5,5.1,12.3,222.0,68.5,57.4,1,6,6.17,4.74,2.9,,
57,Dennis Dixon\DixoDe00,PIT,25,qb,2,2,2-0-0,22,32,68.8,254,0,0.0,1,3.1,52,7.9,6.5,11.5,127.0,79.4,24.9,5,41,5.76,4.54,13.5,0,1
58,Richard Bartel\BartRi00,ARI,27,,1,0,,16,28,57.1,150,0,0.0,1,3.6,31,5.4,3.8,9.4,150.0,57.1,25.3,2,12,4.60,3.10,6.7,,
59,Brian St. Pierre\St.PBr20,CAR,31,qb,1,1,0-1-0,13,28,46.4,173,1,3.6,2,7.1,88,6.2,3.7,13.3,173.0,48.7,11.0,3,23,4.84,2.58,9.7,,
60,Todd Collins\CollTo00,CHI,39,qb,2,1,1-0-0,10,27,37.0,68,0,0.0,5,18.5,19,2.5,-5.8,6.8,34.0,5.9,0.8,2,15,1.83,-5.93,6.9,,
61,Brian Brohm\BrohBr00,BUF,25,qb,1,1,0-1-0,10,23,43.5,106,0,0.0,3,13.0,33,4.6,-1.3,10.6,106.0,17.9,19.2,3,5,3.88,-1.31,11.5,,
62,Brodie Croyle\CroyBr00,KAN,27,qb,2,1,0-1-0,8,19,42.1,38,0,0.0,1,5.3,16,2.0,-0.4,4.8,19.0,27.7,4.5,4,29,0.39,-1.57,17.4,,
63,Luke McCown\McCoLu00,JAX,29,,1,0,,11,19,57.9,120,0,0.0,0,0.0,25,6.3,6.3,10.9,120.0,76.6,20.8,0,0,6.32,6.32,0.0,,
64,Josh Johnson\JohnJo05,TAM,24,,11,0,,14,16,87.5,111,0,0.0,0,0.0,22,6.9,6.9,7.9,10.1,95.6,60.5,2,8,5.72,5.72,11.1,,
65,Brian Hoyer\HoyeBr00,NWE,25,,5,0,,7,15,46.7,122,1,6.7,1,6.7,42,8.1,6.5,17.4,24.4,69.3,58.8,0,0,8.13,6.47,0.0,,
66,Mark Brunell\BrunMa00,NYJ,40,,2,0,,7,13,53.8,117,2,15.4,1,7.7,52,9.0,8.6,16.7,58.5,92.0,76.6,1,7,7.86,7.50,7.1,,
67,David Carr\CarrDa00,SFO,31,,1,0,,5,13,38.5,67,0,0.0,1,7.7,22,5.2,1.7,13.4,67.0,23.6,4.1,1,5,4.43,1.21,7.1,,
68,Tony Pike\PikeTo00,CAR,24,,1,0,,6,12,50.0,47,0,0.0,0,0.0,22,3.9,3.9,7.8,47.0,60.1,2.5,1,10,2.85,2.85,7.7,,
69,Caleb Hanie\HaniCa00,CHI,25,,2,0,,5,7,71.4,55,0,0.0,0,0.0,26,7.9,7.9,11.0,27.5,94.3,7.6,2,15,4.44,4.44,22.2,,
70,Byron Leftwich\LeftBy00,PIT,30,,1,0,,5,7,71.4,42,0,0.0,0,0.0,14,6.0,6.0,8.4,42.0,86.6,56.4,2,7,3.89,3.89,22.2,,
71,Tyler Palko\PalkTy00,KAN,27,,2,0,,4,6,66.7,35,0,0.0,0,0.0,18,5.8,5.8,8.8,17.5,81.9,83.6,2,10,3.13,3.13,25.0,,
72,Chris Redman\RedmCh00,ATL,33,,2,0,,4,6,66.7,20,0,0.0,0,0.0,14,3.3,3.3,5.0,10.0,71.5,30.3,0,0,3.33,3.33,0.0,,
73,Kyle Boller\BollKy00,OAK,29,,5,0,,2,4,50.0,25,0,0.0,1,25.0,20,6.3,-5.0,12.5,5.0,30.2,0.4,1,6,3.80,-5.20,20.0,,
74,Levi Brown\BrowLe00,BUF,23,,1,0,,2,3,66.7,24,0,0.0,1,33.3,16,8.0,-7.0,12.0,24.0,51.4,28.9,0,0,8.00,-7.00,0.0,,
75,Josh Cribbs\CribJo01,CLE,27,wr,15,5,,2,3,66.7,19,0,0.0,0,0.0,10,6.3,6.3,9.5,1.3,84.0,,1,0,4.75,4.75,25.0,,
76,Chase Daniel\DaniCh00,NOR,24,,13,0,,2,3,66.7,16,0,0.0,0,0.0,9,5.3,5.3,8.0,1.2,79.9,0.8,1,10,1.50,1.50,25.0,,
77,Jordan Palmer\PalmJo20,CIN,26,,1,0,,3,3,100.0,18,0,0.0,0,0.0,7,6.0,6.0,6.0,18.0,91.7,25.7,2,20,-0.40,-0.40,40.0,,
78,Brad Smith\SmitBr01,NYJ,27,wr,16,2,,2,3,66.7,6,1,33.3,0,0.0,3,2.0,8.7,3.0,0.4,109.7,88.5,0,0,2.00,8.67,0.0,,
79,Micheal Spurlock\SpurMi00,TAM,27,wr,16,1,,0,3,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,6.2,0,0,0.00,0.00,0.0,,
80,Steve Breaston\BreaSt00,ARI,27,WR,13,11,,1,2,50.0,17,0,0.0,0,0.0,17,8.5,8.5,17.0,1.3,79.2,76.5,0,0,8.50,8.50,0.0,,
81,Ronnie Brown\BrowRo05,MIA,29,RB,16,16,,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,12.4,0,0,0.00,0.00,0.0,,
82,Kellen Clemens\ClemKe00,NYJ,27,,1,0,,1,2,50.0,6,0,0.0,0,0.0,6,3.0,3.0,6.0,6.0,56.2,100.0,0,0,3.00,3.00,0.0,,
83,Peyton Hillis\HillPe00,CLE,24,RB,16,14,,1,2,50.0,13,0,0.0,0,0.0,13,6.5,6.5,13.0,0.8,70.8,93.3,0,0,6.50,6.50,0.0,,
84,Chad Pennington\PennCh01,MIA,34,qb,1,1,1-0-0,1,2,50.0,19,0,0.0,0,0.0,19,9.5,9.5,19.0,19.0,83.3,95.4,0,0,9.50,9.50,0.0,,
85,Antwaan Randle El\RandAn00,PIT,31,,16,0,,2,2,100.0,42,2,100.0,0,0.0,39,21.0,41.0,21.0,2.6,158.3,100.0,0,0,21.00,41.00,0.0,,
86,Marion Barber\BarbMa01,DAL,27,RB,13,10,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,4.2,0,0,0.00,0.00,0.0,,
87,Jahvid Best\BestJa00,DET,21,RB,16,9,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,2.5,0,0,0.00,0.00,0.0,,
88,Anquan Boldin\BoldAn00,BAL,30,WR,16,16,,1,1,100.0,-6,0,0.0,0,0.0,-6,-6.0,-6.0,-6.0,-0.4,79.2,21.1,0,0,-6.00,-6.00,0.0,,
89,Patrick Crayton\CrayPa00,SDG,31,wr,9,2,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.6,0,0,0.00,0.00,0.0,,
90,Armanti Edwards\EdwaAr00,CAR,22,,3,0,,1,1,100.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,79.2,69.8,0,0,0.00,0.00,0.0,,
91,Earnest Graham\GrahEa00,TAM,30,fb,12,7,,1,1,100.0,2,1,100.0,0,0.0,2,2.0,22.0,2.0,0.2,118.7,99.9,0,0,2.00,22.00,0.0,,
92,Chad Johnson\JohnCh01,CIN,32,,14,12,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,3.5,0,0,0.00,0.00,0.0,,
93,Maurice Jones-Drew*\DrewMa00,JAX,25,RB,14,14,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0.00,-45.00,0.0,,
94,Sam Koch\KochSa20,BAL,28,P,16,0,,1,1,100.0,13,0,0.0,0,0.0,13,13.0,13.0,13.0,0.8,118.7,100.0,0,0,13.00,13.00,0.0,,
95,Brandon LaFell\LaFeBr00,CAR,24,wr,14,2,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,99.9,0,0,0.00,0.00,0.0,,
96,Stefan Logan\LogaSt00,DET,29,,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,3.5,0,0,0.00,0.00,0.0,,
97,Brandon Marshall\MarsBr00,MIA,26,WR,14,14,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.1,0,0,0.00,0.00,0.0,,
98,Mohamed Massaquoi\MassMo00,CLE,24,WR,15,14,,1,1,100.0,29,1,100.0,0,0.0,29,29.0,49.0,29.0,1.9,158.3,100.0,0,0,29.00,49.00,0.0,,
99,Darren McFadden\McFaDa00,OAK,23,RB,13,13,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,49.4,0,0,0.00,0.00,0.0,,
100,Michael Robinson\RobiMi00,SEA,27,fb,11,4,,1,1,100.0,28,0,0.0,0,0.0,28,28.0,28.0,28.0,2.5,118.7,100.0,0,0,28.00,28.00,0.0,,
101,Mike Scifres\ScifMi20,SDG,30,P,16,0,,1,1,100.0,28,0,0.0,0,0.0,28,28.0,28.0,28.0,1.8,118.7,100.0,0,0,28.00,28.00,0.0,,
102,Billy Volek\VoleBi00,SDG,34,,3,0,,1,1,100.0,8,0,0.0,0,0.0,8,8.0,8.0,8.0,2.7,100.0,89.4,0,0,8.00,8.00,0.0,,
