Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
62,Graham Harrell\HarrGr00,GNB,27,,4,0,,2,4,50.0,20,0,0.0,0,0.0,11,5.0,5.0,10.0,5.0,64.6,0.0,0,0,5.00,5.00,0.0,,
63,Ryan Mallett\MallRy00,NWE,24,,4,0,,1,4,25.0,17,0,0.0,1,25.0,17,4.3,-7.0,17.0,4.3,5.2,0.5,0,0,4.25,-7.00,0.0,,
64,Brock Osweiler\OsweBr00,DEN,22,,5,0,,2,4,50.0,12,0,0.0,0,0.0,7,3.0,3.0,6.0,2.4,56.2,85.3,0,0,3.00,3.00,0.0,,
65,David Carr\CarrDa00,NYG,33,,2,0,,2,3,66.7,19,0,0.0,0,0.0,15,6.3,6.3,9.5,9.5,84.0,2.3,1,6,3.25,3.25,25.0,,
66,Kellen Clemens\ClemKe00,STL,29,,2,0,,1,3,33.3,39,0,0.0,1,33.3,39,13.0,-2.0,39.0,19.5,42.4,5.2,0,0,13.00,-2.00,0.0,,
67,Johnny Hekker\HekkJo00,STL,22,P,16,0,,3,3,100.0,42,1,33.3,0,0.0,21,14.0,20.7,14.0,2.6,158.3,100.0,0,0,14.00,20.67,0.0,,
68,Antonio Brown\BrowAn04,PIT,24,WR,13,10,,0,2,0.0,0,0,0.0,1,50.0,0,0.0,-22.5,,0.0,0.0,0.0,0,0,0.00,-22.50,0.0,,
69,Trent Edwards\EdwaTr01,PHI,29,,1,0,,2,2,100.0,14,0,0.0,0,0.0,8,7.0,7.0,7.0,14.0,95.8,98.1,0,0,7.00,7.00,0.0,,
70,Tim Masthay\MastTi99,GNB,25,P,16,0,,1,2,50.0,27,1,50.0,0,0.0,27,13.5,23.5,27.0,1.7,135.4,5.7,0,0,13.50,23.50,0.0,,
71,Sidney Rice\RiceSi01,SEA,26,WR,16,16,,1,2,50.0,25,0,0.0,0,0.0,25,12.5,12.5,25.0,1.6,95.8,100.0,0,0,12.50,12.50,0.0,,
72,Danario Alexander\AlexDa00,SDG,26,wr,10,6,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,27.5,0,0,0.00,0.00,0.0,,
73,Chase Daniel\DaniCh00,NOR,26,,16,0,,1,1,100.0,10,0,0.0,0,0.0,10,10.0,10.0,10.0,0.6,108.3,99.9,0,0,10.00,10.00,0.0,,
74,Armanti Edwards\EdwaAr00,CAR,24,,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,2.5,0,0,0.00,0.00,0.0,,
75,Brandon Fields\FielBr20,MIA,28,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.00,0.00,0.0,,
76,Peyton Hillis\HillPe00,KAN,26,rb,13,2,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.0,0,0,0.00,0.00,0.0,,
77,T.Y. Hilton\HiltT.00,IND,23,wr,15,1,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,4.9,0,0,0.00,0.00,0.0,,
78,Jeremy Kerley\KerlJe00,NYJ,24,wr,16,7,,1,1,100.0,42,0,0.0,0,0.0,42,42.0,42.0,42.0,2.6,118.7,91.8,0,0,42.00,42.00,0.0,,
79,Shane Lechler\LechSh20,OAK,36,P,16,0,,1,1,100.0,4,0,0.0,0,0.0,4,4.0,4.0,4.0,0.3,83.3,0.3,0,0,4.00,4.00,0.0,,
80,Josh Morgan\MorgJo00,WAS,27,WR,16,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.00,0.00,0.0,,
81,Matt Prater\PratMa20,DEN,28,K,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.00,0.00,0.0,,
82,Mohamed Sanu\SanuMo00,CIN,23,wr,9,3,,1,1,100.0,73,1,100.0,0,0.0,73,73.0,93.0,73.0,8.1,158.3,100.0,0,0,73.00,93.00,0.0,,
83,Brad Smith\SmitBr01,BUF,29,wr,15,2,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,84.3,0,0,0.00,-45.00,0.0,,
84,Golden Tate\TateGo00,SEA,24,WR,15,15,,1,1,100.0,23,1,100.0,0,0.0,23,23.0,43.0,23.0,1.5,158.3,100.0,0,0,23.00,43.00,0.0,,
85,Mike Williams\WillMi04,TAM,25,WR,16,16,,1,1,100.0,28,0,0.0,0,0.0,28,28.0,28.0,28.0,1.8,118.7,100.0,0,0,28.00,28.00,0.0,,
