Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Matthew Stafford\StafMa00,DET,24,QB,16,16,4-12-0,435,727,59.8,4967,20,2.8,17,2.3,57,6.8,6.3,11.4,310.4,79.8,56.1,29,212,6.29,5.81,3.8,3,3
2,Drew Brees*\BreeDr00,NOR,33,QB,16,16,7-9-0,422,670,63.0,5177,43,6.4,19,2.8,80,7.7,7.7,12.3,323.6,96.3,68.7,26,190,7.17,7.17,3.7,1,2
3,Tony Romo\RomoTo00,DAL,32,QB,16,16,8-8-0,425,648,65.6,4903,28,4.3,19,2.9,85,7.6,7.1,11.5,306.4,90.5,65.4,36,263,6.78,6.35,5.3,5,5
4,Tom Brady*\BradTo00,NWE,35,QB,16,16,12-4-0,401,637,63.0,4827,34,5.3,8,1.3,83,7.6,8.1,12.0,301.7,98.7,76.1,27,182,7.00,7.48,4.1,1,2
5,Andrew Luck*\LuckAn00,IND,23,QB,16,16,11-5-0,339,627,54.1,4374,23,3.7,18,2.9,70,7.0,6.4,12.9,273.4,76.5,65.6,41,246,6.18,5.66,6.1,4,7
6,Matt Ryan*\RyanMa00,ATL,27,QB,16,16,13-3-0,422,615,68.6,4719,32,5.2,14,2.3,80,7.7,7.7,11.2,294.9,99.1,71.6,28,210,7.01,7.03,4.4,4,6
7,Peyton Manning*+\MannPe00,DEN,36,QB,16,16,13-3-0,400,583,68.6,4659,37,6.3,11,1.9,71,8.0,8.4,11.6,291.2,105.8,79.6,21,137,7.49,7.89,3.5,3,3
8,Carson Palmer\PalmCa00,OAK,33,QB,15,15,4-11-0,345,565,61.1,4018,22,3.9,14,2.5,64,7.1,6.8,11.6,267.9,85.3,46.6,26,199,6.46,6.14,4.4,2,2
9,Josh Freeman\FreeJo00,TAM,24,QB,16,16,7-9-0,306,558,54.8,4065,27,4.8,17,3.0,95,7.3,6.9,13.3,254.1,81.6,49.4,26,161,6.68,6.30,4.5,1,1
10,Aaron Rodgers*\RodgAa00,GNB,29,QB,16,16,11-5-0,371,552,67.2,4295,39,7.1,8,1.4,73,7.8,8.5,11.6,268.4,108.0,71.2,51,293,6.64,7.33,8.5,2,3
11,Sam Bradford\BradSa00,STL,25,QB,16,16,7-8-1,328,551,59.5,3702,21,3.8,13,2.4,80,6.7,6.4,11.3,231.4,82.6,51.6,35,233,5.92,5.64,6.0,4,3
12,Matt Schaub*\SchaMa00,HOU,31,QB,16,16,12-4-0,350,544,64.3,4008,22,4.0,12,2.2,60,7.4,7.2,11.5,250.5,90.7,61.3,27,216,6.64,6.47,4.7,2,2
13,Eli Manning*\MannEl00,NYG,31,QB,16,16,9-7-0,321,536,59.9,3948,26,4.9,15,2.8,80,7.4,7.1,12.3,246.8,87.2,67.0,19,136,6.87,6.59,3.4,3,3
14,Joe Flacco\FlacJo00,BAL,27,QB,16,16,10-6-0,317,531,59.7,3817,22,4.1,10,1.9,61,7.2,7.2,12.0,238.6,87.7,51.1,35,227,6.34,6.33,6.2,3,3
15,Andy Dalton\DaltAn00,CIN,25,QB,16,16,10-6-0,329,528,62.3,3669,27,5.1,16,3.0,59,6.9,6.6,11.2,229.3,87.4,47.7,46,229,5.99,5.68,8.0,1,3
16,Philip Rivers\RivePh00,SDG,31,QB,16,16,7-9-0,338,527,64.1,3606,26,4.9,15,2.8,80,6.8,6.5,10.7,225.4,88.6,42.6,49,311,5.72,5.45,8.5,,
17,Brandon Weeden\WeedBr00,CLE,29,QB,15,15,5-10-0,297,517,57.4,3385,14,2.7,17,3.3,71,6.5,5.6,11.4,225.7,72.6,33.9,28,186,5.87,4.98,5.1,1,1
18,Ryan Fitzpatrick\FitzRy00,BUF,30,QB,16,16,6-10-0,306,505,60.6,3400,24,4.8,16,3.2,68,6.7,6.3,11.1,212.5,83.3,43.8,30,161,6.05,5.61,5.6,0,1
19,Cam Newton\NewtCa00,CAR,23,QB,16,16,7-9-0,280,485,57.7,3869,19,3.9,12,2.5,82,8.0,7.6,13.8,241.8,86.2,58.3,36,244,6.96,6.65,6.9,1,1
20,Ryan Tannehill\TannRy00,MIA,24,QB,16,16,7-9-0,282,484,58.3,3294,12,2.5,13,2.7,80,6.8,6.1,11.7,205.9,76.1,48.4,35,234,5.90,5.23,6.7,1,1
21,Christian Ponder\PondCh00,MIN,24,QB,16,16,10-6-0,300,483,62.1,2935,18,3.7,12,2.5,65,6.1,5.7,9.8,183.4,81.2,52.1,32,184,5.34,4.99,6.2,1,2
22,Mark Sanchez\SancMa00,NYJ,26,QB,15,15,6-9-0,246,453,54.3,2883,13,2.9,18,4.0,66,6.4,5.2,11.7,192.2,66.9,27.1,34,209,5.49,4.36,7.0,1,1
23,Ben Roethlisberger\RoetBe00,PIT,30,QB,13,13,7-6-0,284,449,63.3,3265,26,5.8,8,1.8,82,7.3,7.6,11.5,251.2,97.0,71.3,30,182,6.44,6.77,6.3,2,3
24,Jay Cutler\CutlJa00,CHI,29,QB,15,15,10-5-0,255,434,58.8,3033,19,4.4,14,3.2,60,7.0,6.4,11.9,202.2,81.3,48.1,38,250,5.90,5.37,8.1,1,1
25,Robert Griffin*\GrifRo01,WAS,22,QB,15,15,9-6-0,258,393,65.6,3200,20,5.1,5,1.3,88,8.1,8.6,12.4,213.3,102.4,69.4,30,217,7.05,7.47,7.1,3,2
26,Russell Wilson*\WilsRu00,SEA,24,QB,16,16,11-5-0,252,393,64.1,3118,26,6.6,10,2.5,67,7.9,8.1,12.4,194.9,100.0,72.7,33,203,6.84,7.01,7.7,3,4
27,Michael Vick\VickMi00,PHI,32,QB,10,10,3-7-0,204,351,58.1,2362,12,3.4,10,2.8,77,6.7,6.1,11.6,236.2,78.1,47.0,28,153,5.83,5.27,7.4,3,3
28,Jake Locker\LockJa00,TEN,24,QB,11,11,4-7-0,177,314,56.4,2176,10,3.2,11,3.5,71,6.9,6.0,12.3,197.8,74.0,42.0,25,151,5.97,5.10,7.4,0,1
29,Chad Henne\HennCh01,JAX,27,qb,10,6,1-5-0,166,308,53.9,2084,11,3.6,11,3.6,81,6.8,5.9,12.6,208.4,72.2,27.7,28,169,5.70,4.88,8.3,,
30,Blaine Gabbert\GabbBl00,JAX,23,QB,10,10,1-9-0,162,278,58.3,1662,9,3.2,6,2.2,80,6.0,5.7,10.3,166.2,77.4,36.1,22,158,5.01,4.71,7.3,1,1
31,Matt Cassel\CassMa00,KAN,30,QB,9,8,1-7-0,161,277,58.1,1796,6,2.2,12,4.3,46,6.5,5.0,11.2,199.6,66.7,26.3,19,101,5.73,4.31,6.4,1,1
32,Nick Foles\FoleNi00,PHI,23,qb,7,6,1-5-0,161,265,60.8,1699,6,2.3,5,1.9,46,6.4,6.0,10.6,242.7,79.1,51.2,20,131,5.50,5.13,7.0,1,1
33,Matt Hasselbeck\HassMa00,TEN,37,qb,8,5,2-3-0,138,221,62.4,1367,7,3.2,5,2.3,37,6.2,5.8,9.9,170.9,81.0,45.0,14,103,5.38,5.02,6.0,2,2
34,Colin Kaepernick\KaepCo00,SFO,25,qb,13,7,5-2-0,136,218,62.4,1814,10,4.6,3,1.4,57,8.3,8.6,13.3,139.5,98.3,71.8,16,112,7.27,7.55,6.8,1,1
35,Alex Smith\SmitAl03,SFO,28,QB,10,9,6-2-1,153,218,70.2,1737,13,6.0,5,2.3,55,8.0,8.1,11.4,173.7,104.1,65.1,24,137,6.61,6.76,9.9,,
36,John Skelton\SkelJo00,ARI,24,qb,7,6,1-5-0,109,201,54.2,1132,2,1.0,9,4.5,40,5.6,3.8,10.4,161.7,55.4,18.3,15,98,4.79,3.10,6.9,1,1
37,Brady Quinn\QuinBr00,KAN,28,QB,10,8,1-7-0,112,197,56.9,1141,2,1.0,8,4.1,57,5.8,4.2,10.2,114.1,60.1,26.0,21,123,4.67,3.20,9.6,,
38,Kevin Kolb\KolbKe00,ARI,28,qb,6,5,3-2-0,109,183,59.6,1169,8,4.4,3,1.6,46,6.4,6.5,10.7,194.8,86.1,42.7,27,159,4.81,4.93,12.9,2,2
39,Ryan Lindley\LindRy00,ARI,23,qb,6,4,1-3-0,89,171,52.0,752,0,0.0,7,4.1,28,4.4,2.6,8.4,125.3,46.7,9.2,12,91,3.61,1.89,6.6,,
40,Charlie Batch\BatcCh00,PIT,38,qb,2,2,1-1-0,45,70,64.3,475,1,1.4,4,5.7,43,6.8,4.5,10.6,237.5,64.9,35.9,3,12,6.34,4.15,4.1,1,1
41,Brian Hoyer\HoyeBr00,ARI,27,qb,2,1,0-1-0,30,53,56.6,330,1,1.9,2,3.8,53,6.2,4.9,11.0,165.0,65.8,28.7,4,30,5.26,4.04,7.0,,
42,Byron Leftwich\LeftBy00,PIT,32,qb,2,1,0-1-0,25,53,47.2,272,0,0.0,1,1.9,37,5.1,4.3,10.9,136.0,54.9,28.8,3,24,4.43,3.63,5.4,0,0
43,Jason Campbell\CampJa00,CHI,31,qb,6,1,0-1-0,32,51,62.7,265,2,3.9,2,3.9,45,5.2,4.2,8.3,44.2,72.8,9.2,6,49,3.79,2.91,10.5,,
44,Kirk Cousins\CousKi00,WAS,24,qb,3,1,1-0-0,33,48,68.8,466,4,8.3,3,6.3,77,9.7,8.6,14.1,155.3,101.6,77.7,3,27,8.61,7.53,5.9,1,1
45,Matt Leinart\LeinMa00,OAK,29,,2,0,,16,33,48.5,115,0,0.0,1,3.0,20,3.5,2.1,7.2,57.5,44.4,24.0,1,9,3.12,1.79,2.9,,
46,Thaddeus Lewis\LewiTh01,CLE,27,qb,1,1,0-1-0,22,32,68.8,204,1,3.1,1,3.1,23,6.4,5.6,9.3,204.0,83.3,54.5,3,14,5.43,4.71,8.6,,
47,Greg McElroy\McElGr00,NYJ,24,qb,2,1,0-1-0,19,31,61.3,214,1,3.2,1,3.2,30,6.9,6.1,11.3,107.0,79.2,16.6,11,71,3.40,2.81,26.2,1,1
48,Terrelle Pryor\PryoTe00,OAK,23,qb,3,1,0-1-0,14,30,46.7,155,2,6.7,1,3.3,38,5.2,5.0,11.1,51.7,70.8,53.8,0,0,5.17,5.00,0.0,,
49,Tyrod Taylor\TaylTy00,BAL,23,,7,0,,17,29,58.6,179,0,0.0,1,3.4,25,6.2,4.6,10.5,25.6,62.3,52.3,3,30,4.66,3.25,9.4,,
50,Matt Moore\MoorMa01,MIA,28,,2,0,,11,19,57.9,131,1,5.3,0,0.0,37,6.9,7.9,11.9,65.5,96.6,62.0,2,9,5.81,6.76,9.5,,
51,Colt McCoy\McCoCo00,CLE,26,,3,0,,9,17,52.9,79,1,5.9,0,0.0,21,4.6,5.8,8.8,26.3,85.2,17.8,4,25,2.57,3.52,19.0,,
52,Shaun Hill\HillSh00,DET,32,,1,0,,10,13,76.9,172,2,15.4,0,0.0,46,13.2,16.3,17.2,172.0,157.9,44.2,0,0,13.23,16.31,0.0,,
53,Bruce Gradkowski\GradBr00,CIN,29,,2,0,,5,11,45.5,65,0,0.0,0,0.0,44,5.9,5.9,13.0,32.5,64.6,33.6,0,0,5.91,5.91,0.0,1,1
54,Kyle Orton\OrtoKy00,DAL,30,,1,0,,9,10,90.0,89,1,10.0,0,0.0,21,8.9,10.9,9.9,89.0,137.1,99.5,0,0,8.90,10.90,0.0,,
55,T.J. Yates\YateT.00,HOU,25,,4,0,,4,10,40.0,38,0,0.0,1,10.0,19,3.8,-0.7,9.5,9.5,11.7,44.8,1,0,3.45,-0.64,9.1,,
56,Matt Flynn\FlynMa00,SEA,27,,3,0,,5,9,55.6,68,0,0.0,0,0.0,27,7.6,7.6,13.6,22.7,79.9,23.1,0,0,7.56,7.56,0.0,,
57,Tim Tebow\TeboTi00,NYJ,25,fb/te,12,2,,6,8,75.0,39,0,0.0,0,0.0,23,4.9,4.9,6.5,3.3,84.9,25.4,2,7,3.20,3.20,20.0,,
58,Dan Orlovsky\OrloDa00,TAM,29,,1,0,,4,7,57.1,51,0,0.0,0,0.0,24,7.3,7.3,12.8,51.0,80.1,56.8,0,0,7.29,7.29,0.0,,
59,Rusty Smith\SmitRu01,TEN,25,,1,0,,3,5,60.0,34,0,0.0,0,0.0,17,6.8,6.8,11.3,34.0,80.4,37.2,0,0,6.80,6.80,0.0,,
60,Tyler Thigpen\ThigTy00,BUF,28,,4,0,,3,5,60.0,30,0,0.0,0,0.0,12,6.0,6.0,10.0,7.5,77.1,35.9,0,0,6.00,6.00,0.0,,
61,Derek Anderson\AndeDe00,CAR,29,,2,0,,4,4,100.0,58,0,0.0,0,0.0,23,14.5,14.5,14.5,29.0,118.7,90.9,0,0,14.50,14.50,0.0,,
